event,outcome,entrant0,entrant1,entrant2,entrant3,entrant4,entrant5,entrant6,entrant7,entrant8,entrant9,entrant10,entrant11,entrant12,entrant13,entrant14,entrant15,entrant16,entrant17,entrant18,entrant19,entrant20,entrant21,entrant22,entrant23,entrant24,entrant25,entrant26,entrant27,entrant28,entrant29,entrant30,entrant31,entrant32,entrant33,entrant34,entrant35,entrant36,entrant37,entrant38,entrant39,entrant40,entrant41,entrant42,entrant43
dems_win_PRES_NC,0.0,0.5,0.3,0.43,0.45,0.437,0.45,0.48,0.6,0.35,0.52,0.45,0.55,0.37,0.5,0.4,0.55,0.0,0.45,0.4,0.0,1.0,0.55,0.37,0.29,0.45,0.34,1.0,0.5,0.19,0.18,0.8,0.8,0.4,0.0,0.85,0.49,0.3,0.52,0.6,0.6,0.54,0.3445,0.6,0.55
dems_win_PRES_OH,0.0,0.47,0.01,0.05,0.1,0.1,0.25,0.13,0.0,0.92,0.06,0.26,0.33,0.07,0.08,0.0,0.1,0.0,0.01,0.3,0.0,0.0,0.15,0.1,0.01,0.1,0.28,0.0,0.1,0.04,0.0,0.0,0.15,0.1,0.0,0.25,0.36,0.15,0.34,0.75,0.3,0.32,0.0421,0.1,0.1
dems_win_PRES_PA,0.0,0.51,0.5,0.51,0.55,0.55,0.7,0.52,1.0,0.45,0.49,0.6,0.75,0.55,0.6,0.5,0.65,1.0,0.8,0.49,0.0,1.0,0.6,0.44,0.36,0.75,0.52,1.0,0.5,0.54,0.32,1.0,1.0,0.55,1.0,0.75,0.6,0.7,0.67,1.0,0.55,0.47,0.4753,0.5,0.6
dems_win_PRES_TX,0.0,0.47,0.01,0.85,0.25,0.125,0.25,0.14,0.0,0.05,0.06,0.3,0.4,0.1,0.25,0.0,0.25,0.0,0.1,0.0,0.0,0.0,0.2,0.8,0.02,0.15,0.3,0.0,1.0,0.08,0.0,0.0,0.1,0.85,0.0,0.65,0.3,0.2,0.12,0.6,0.2,0.23,0.0611,0.1,0.1
dems_win_PRES_VA,1.0,0.52,0.9,0.89,0.95,0.92,0.8,0.97,1.0,0.9,0.74,0.7,1.0,1.0,0.85,1.0,1.0,1.0,0.95,0.75,0.0,1.0,0.9,0.83,0.96,0.95,0.55,1.0,0.99,0.86,0.96,1.0,1.0,0.85,1.0,1.0,0.75,0.95,0.86,0.6,0.9,0.78,0.9524,0.6,0.8
dems_win_PRES_WI,0.0,0.51,0.5,0.57,0.55,0.667,0.6,0.53,1.0,0.5,0.54,0.63,0.85,0.53,0.5,0.5,0.8,1.0,0.85,0.55,0.0,1.0,0.6,0.44,0.26,0.5,0.76,1.0,0.6,0.48,0.29,1.0,0.75,0.55,1.0,0.65,0.52,0.65,0.81,0.7,0.65,0.61,0.6725,0.7,0.6
dems_win_SENATE_AZ,1.0,0.51,0.99,0.89,0.8,0.625,0.7,0.88,1.0,0.84,0.99,0.7,1.0,0.9,0.9,0.5,0.8,1.0,0.8,0.8,0.0,1.0,0.85,0.83,0.98,0.7,0.65,0.0,0.9,0.86,0.82,1.0,1.0,0.7,1.0,0.85,0.89,0.9,0.82,0.65,0.65,0.75,0.785,0.7,0.9
dems_win_SENATE_FL,0.0,0.42,0.01,0.19,0.3,0.125,0.15,0.27,0.0,0.12,0.22,0.46,0.5,0.19,0.2,0.0,0.3,0.0,0.1,0.25,0.0,0.0,0.2,0.1,0.04,0.15,0.33,0.0,0.1,0.08,0.0,0.2,0.15,0.85,0.0,0.35,0.43,0.25,0.16,0.5,0.25,0.11,0.1,0.2,0.01
dems_win_SENATE_MD,1.0,0.53,0.99,0.91,0.9,0.775,0.8,0.92,1.0,0.95,0.85,0.8,1.0,0.89,0.9,1.0,1.0,1.0,0.95,0.9,1.0,1.0,0.85,0.92,0.98,0.9,0.7,1.0,0.99,0.91,0.99,1.0,1.0,0.9,1.0,0.75,0.78,0.98,1.0,1.0,0.8,0.91,0.97,0.6,0.9
dems_win_SENATE_MI,1.0,0.62,0.99,0.83,0.7,0.675,0.75,0.86,1.0,0.75,0.55,0.75,1.0,0.7,0.65,0.8,1.0,1.0,0.95,0.8,0.3,1.0,0.75,0.71,0.51,0.7,0.61,1.0,0.99,0.91,0.86,1.0,1.0,0.8,1.0,0.9,0.82,0.9,0.89,0.75,0.75,0.6,0.77,0.6,0.9
dems_win_SENATE_MT,0.0,0.43,0.1,0.15,0.3,0.5,0.3,0.25,0.0,0.15,0.12,0.3,0.4,0.37,0.25,0.5,0.35,1.0,0.05,0.55,0.0,0.0,0.42,0.2,0.02,0.3,0.3,0.0,0.05,0.16,0.03,0.2,0.25,0.3,0.0,0.7,0.4,0.25,0.05,0.5,0.45,0.65,0.13,0.1,0.4
dems_win_SENATE_NV,1.0,0.4,0.95,0.9,0.7,0.625,0.75,0.92,1.0,0.8,0.75,0.65,1.0,0.85,0.75,0.7,1.0,1.0,0.8,0.8,0.3,1.0,0.75,0.86,0.99,0.8,0.64,0.0,0.75,0.84,0.64,1.0,1.0,0.8,1.0,1.0,0.55,0.9,0.55,0.6,0.55,0.65,0.84,0.4,0.7
dems_win_SENATE_NM,1.0,0.64,0.99,0.95,0.9,0.8,0.95,0.98,1.0,0.93,0.98,0.75,1.0,1.0,0.85,1.0,1.0,1.0,0.8,0.9,0.8,1.0,0.87,0.95,0.99,0.95,0.7,0.0,0.99,0.95,0.99,1.0,1.0,0.95,1.0,1.0,0.55,0.99,1.0,0.5,0.85,1.0,0.97,0.2,0.99
dems_win_SENATE_OH,0.0,0.37,0.5,0.5,0.35,0.525,0.55,0.52,0.8,0.5,0.45,0.6,0.68,0.6,0.5,0.5,0.65,1.0,0.3,0.48,0.0,1.0,0.55,0.42,0.35,0.55,0.5,1.0,0.5,0.39,0.5,1.0,0.15,0.55,0.0,0.75,0.39,0.65,0.76,0.75,0.55,0.5,0.51,0.3,0.6
dems_win_SENATE_PA,0.0,0.52,0.95,0.79,0.75,0.625,0.75,0.83,1.0,0.75,0.79,0.65,0.8,0.8,0.75,0.6,1.0,1.0,0.75,0.8,0.3,1.0,0.65,0.7,0.65,0.85,0.62,1.0,0.5,0.7,0.61,1.0,1.0,0.65,1.0,0.95,0.86,0.85,0.9,0.75,0.55,0.7,0.75,0.7,0.9
dems_win_SENATE_TX,0.0,0.3,0.01,0.17,0.25,0.1,0.45,0.27,0.3,0.14,0.2,0.45,0.5,0.3,0.25,0.4,0.4,0.0,0.15,0.35,0.0,1.0,0.33,0.16,0.15,0.3,0.05,0.0,0.05,0.22,0.0,0.1,0.15,0.85,0.0,0.45,0.39,0.3,0.2,0.6,0.45,0.43,0.2,0.1,0.2
dems_win_SENATE_WI,1.0,0.33,0.9,0.78,0.67,0.75,0.7,0.86,1.0,0.78,0.65,0.55,0.8,0.7,0.75,0.5,0.85,1.0,0.9,0.8,0.0,1.0,0.7,0.165,0.55,0.8,0.35,1.0,0.8,0.67,0.77,1.0,0.75,0.75,1.0,0.4,0.51,0.7,0.8,0.6,0.65,0.7,0.7,0.6,0.7
dems_win_GOV_MT,0.0,0.75,0.01,0.97,0.1,0.19,0.2,0.03,0.0,0.02,0.01,0.0,0.15,0.0,0.03,0.0,0.05,0.0,0.1,0.1,0.0,0.0,0.1,0.3,0.0,0.1,0.32,0.0,1.0,0.05,0.08,0.2,0.15,0.9,0.0,0.2,0.2,0.15,0.0,0.5,0.25,0.03,0.01,0.1,0.01
dems_win_GOV_NH,0.0,0.54,0.5,0.51,0.4,0.785,0.4,0.48,0.3,0.5,0.5,0.5,0.7,0.5,0.6,1.0,0.6,1.0,0.9,0.55,0.0,1.0,0.5,0.49,0.3,0.55,0.53,1.0,0.5,0.43,0.4,0.1,0.55,0.55,1.0,0.95,0.7,0.45,0.4,1.0,0.45,0.27,0.37,0.4,0.4
dems_win_GOV_VT,0.0,0.31,0.01,0.97,0.2,0.875,0.25,0.04,0.0,0.05,0.0,0.6,0.79,0.0,0.0,1.0,1.0,1.0,0.55,0.25,0.0,0.0,0.1,0.94,0.0,0.99,0.26,1.0,0.1,0.09,0.06,0.0,0.15,0.95,1.0,0.05,0.9,0.1,0.0,0.75,0.55,0.13,0.001,0.3,0.01
