did_hometeam_win,hometeam_win_prob
1,0.4361122672409113
0,0.562043795620438
0,0.43795620437956206
1,0.6428571428571429
0,0.4891657638136511
0,0.5798319327731092
1,0.7228793511321393
1,0.5962732919254659
1,0.6792452830188679
0,0.3716198408096568
1,0.8019153638372759
0,0.5195490681610843
0,0.5601847592057563
0,0.7756269247690277
0,0.4368401892974153
1,0.447405997144217
0,0.5366306721917165
0,0.7065820777160983
1,0.5108342361863488
1,0.6792452830188679
0,0.35294117647058826
1,0.6115107913669064
0,0.6256684491978609
1,0.6323766526926797
1,0.8328690807799444
1,0.745958429561201
1,0.32075471698113206
1,0.7065820777160983
0,0.6388542963885429
1,0.5962732919254659
1,0.4675324675324675
0,0.5978490316019784
1,0.5303589399530358
0,0.6323766526926797
0,0.4675324675324675
1,0.32075471698113206
0,0.4675324675324675
1,0.7842323651452283
0,0.6256684491978609
1,0.7065820777160983
0,0.6979865771812079
1,0.8021828103683492
0,0.6256684491978609
1,0.35294117647058826
1,0.6040343668285393
1,0.5324675324675325
1,0.7023445463812437
0,0.5882115462252725
1,0.7555791710945803
1,0.5
1,0.7520661157024794
0,0.6388542963885429
0,0.5
1,0.42888402625820565
1,0.37433155080213903
1,0.6470588235294118
0,0.6256684491978609
0,0.38128249566724437
0,0.4675324675324675
0,0.6388542963885429
0,0.7953488372093024
1,0.6256684491978609
1,0.6428571428571429
0,0.35714285714285715
1,0.6992934618738337
0,0.562043795620438
0,0.19349645846748229
1,0.7827211588204864
0,0.6416200213349953
1,0.3729708923428147
1,0.6547884187082406
0,0.6453067744057126
0,0.43246898859207317
1,0.6323766526926797
1,0.43795620437956206
1,0.7153024911032029
0,0.6957699520733487
1,0.4085266019170548
1,0.7634625062908907
1,0.6547884187082406
1,0.43795620437956206
1,0.24793388429752067
0,0.5711159737417943
1,0.745958429561201
1,0.5798319327731092
1,0.745958429561201
1,0.40372670807453415
0,0.4572564612326044
1,0.7241379310344829
0,0.6792452830188679
1,0.6115107913669064
1,0.7496522948539639
1,0.7369226063016213
0,0.4117884537747275
1,0.43795620437956206
1,0.7044334975369458
1,0.48699271592091564
1,0.8217268740864481
1,0.43795620437956206
0,0.5427435387673957
0,0.6497473587505742
1,0.5506567324679315
0,0.6630327056491576
0,0.5324675324675325
0,0.26537620980330945
1,0.7727272727272727
1,0.5798319327731092
1,0.5946855291779473
1,0.5151837230488916
1,0.4826358742837298
0,0.30874785591766724
0,0.44357932957757024
0,0.47607763727623276
0,0.4253560419500938
1,0.6323766526926797
1,0.562043795620438
1,0.6742037442256261
1,0.3158617532616159
0,0.3452115812917595
1,0.7395517867958814
0,0.6727813584531482
1,0.5882115462252725
0,0.26448362720403024
1,0.6323766526926797
1,0.38128249566724437
0,0.32075471698113206
0,0.40372670807453415
0,0.7578947368421054
1,0.6323766526926797
1,0.5108342361863488
1,0.6912521440823327
1,0.7555791710945803
0,0.5882115462252725
0,0.5962732919254659
0,0.5882115462252725
0,0.4675324675324675
1,0.5427435387673957
1,0.5711159737417943
1,0.40372670807453415
1,0.4117884537747275
0,0.6470588235294118
1,0.8720930232558138
0,0.6187175043327556
0,0.7520661157024794
1,0.5
1,0.6256684491978609
1,0.5798319327731092
1,0.6727813584531482
0,0.7195253505933118
1,0.7195253505933118
1,0.5427435387673957
0,0.562043795620438
1,0.7241379310344829
0,0.23653749370910918
0,0.5
0,0.1935483870967742
1,0.7107039537126325
1,0.5798319327731092
1,0.7065820777160983
1,0.5427435387673957
1,0.6792452830188679
0,0.2157676348547718
0,0.43795620437956206
0,0.2931655774751114
1,0.7671347977433681
1,0.6229179100428626
1,0.6428571428571429
1,0.7335423197492164
1,0.7508598641855543
0,0.27347611202635913
1,0.32075471698113206
1,0.6270291076571854
0,0.6428571428571429
0,0.20748425342719526
0,0.6489208633093525
0,0.40372670807453415
0,0.37433155080213903
0,0.6787837112256144
1,0.7491638795986623
1,0.5282320336795786
0,0.7104677060133631
1,0.4891657638136511
1,0.863013698630137
1,0.6428571428571429
1,0.5815341524816192
0,0.6323766526926797
1,0.5583104446588969
1,0.7182153170602096
1,0.7827211588204864
0,0.5324675324675325
1,0.6388542963885429
1,0.552594002855783
1,0.5324675324675325
0,0.7153024911032029
0,0.3676233473073202
0,0.4717679663204214
1,0.4572564612326044
1,0.7555791710945803
0,0.37570191621443294
1,0.562043795620438
0,0.47268236596686963
0,0.5798319327731092
1,0.41846584751838084
0,0.34065266446797426
1,0.3676233473073202
1,0.6979865771812079
1,0.9039548022598869
0,0.42888402625820565
1,0.730077120822622
1,0.6489208633093525
1,0.6841382467383841
0,0.32075471698113206
0,0.6792452830188679
1,0.7988904299583911
0,0.7001620745542949
1,0.6323766526926797
0,0.5962732919254659
1,0.8674211802748586
0,0.42016806722689076
0,0.4361122672409113
0,0.40372670807453415
0,0.7228793511321393
1,0.5217391304347826
0,0.42016806722689076
0,0.6659707724425887
1,0.6187175043327556
0,0.4117884537747275
1,0.7147147147147147
1,0.9263657957244656
1,0.35294117647058826
1,0.3452115812917595
1,0.6256684491978609
0,0.6935031297215627
0,0.7886762360446571
1,0.5882115462252725
1,0.6912521440823327
1,0.6428571428571429
1,0.6979865771812079
1,0.6040343668285393
1,0.3676233473073202
1,0.42888402625820565
0,0.7796024200518582
0,0.361145703611457
1,0.6979865771812079
1,0.6888888888888889
